港澳台频道,#genre#
香港C+_频道,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
邓紫棋香港站,https://sns-video-default.xhscdn.com/stream/1/110/258/01e8c02b2307ec2801037001992eb2cbfb_258.mp4

省级频道,#genre#
东方三侠,http://jsmov2.a.yximgs.com/bs3/video-hls/5222205346628851891_hlsb.m3u8
东方秃鹰,http://jsmov2.a.yximgs.com/bs3/video-hls/5218546164654879826_hlsb.m3u8
19:35成都蓉城🆚辽宁铁人,http://rihou.cc:555/tv/v
20:00河南俱乐🆚重庆铜梁,http://rihou.cc:555/tv/v
19:00浙江俱乐🆚云南玉昆,http://rihou.cc:555/tv/v
19:00天津门虎🆚青岛西岸,http://rihou.cc:555/tv/v
0829⬇️湖北省城市足球联赛⬇️⚽📡,http://rihou.cc:555/tv/t
0829⬇️山东省足球超级联赛⬇️⚽📡,http://rihou.cc:555/tv/t
0829⬇️湖南省足球超级联赛⬇️⚽📡,http://rihou.cc:555/tv/t
0829⬇️江西省城市足球超级联赛⬇️⚽📡,http://rihou.cc:555/tv/t
0830⬇️湖南省足球超级联赛⬇️⚽📡,http://rihou.cc:555/tv/t
0830⬇️山东省足球超级联赛⬇️⚽📡,http://rihou.cc:555/tv/t
河北4k频道超,https://event.pull.hebtv.com:443/live/live101.m3u8
浙江经视,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8

市级频道,#genre#
17:00青岛海牛🆚武汉三镇,http://rihou.cc:555/tv/v
19:25武汉华工科技队🆚荆州恒隆队,http://rihou.cc:555/tv/v
19:30淄博齐樱锐思达🆚济南队,http://rihou.cc:555/tv/v
19:40常州队🆚无锡队,http://rihou.cc:555/tv/v
20:00南昌队🆚赣州队,http://rihou.cc:555/tv/v
广州新闻频道,http://tencentplaygzrb01.gztv.com/live/xinwen.m3u8
广州综合频道,http://tencentplaygzrb01.gztv.com/live/zonghes.m3u8
广州南国频道,http://tencentplaygzrb01.gztv.com/live/nanguodushi.m3u8

其它频道,#genre#
刀剑笑,http://jsmov2.a.yximgs.com/bs3/video-hls/5215168447635500734_hlsb.m3u8
春晚1984,http://txmov2.a.kwimgs.com/upic/2023/01/14/11/BMjAyMzAxMTQxMTI2MzFfMTA4MjcxNjUwN185MzU0NTE5NjAzOV8wXzM=_b_B36a97003d0d99f71390324443a9015ab.mp4
春晚1985,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4
春晚1987,https://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDhfNDAzMDAxOTlfNjYyNzMyNjMyMDNfMF8z_b_B570493ed8f7200d4013a66b2d21b2de9.mp4
春晚1987西游记齐天乐,https://txmov2.a.kwimgs.com/bs3/video-hls/5257389657904396113_hlsb.m3u8
春晚1989,https://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.mp4
春晚1990,https://alimov2.a.kwimgs.com/upic/2023/01/24/09/BMjAyMzAxMjQwOTIyNDRfNzM5MzQzNzIyXzk0NDU2MTIzNDIyXzBfMw==_b_Bd54d02343cb1d4371a6bae7535ca2e8e.mp4
春晚1988,https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8
春晚1994,https://alimov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYxMjNfMF8z_b_B3dde97f36273f04403d4dc5eec611a35.mp4
春晚1996,https://alimov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYxNTJfMF8z_b_Bd841eae10ab1c9955ef55fbedfae6c45.mp4
春晚2000,https://alimov2.a.kwimgs.com/upic/2023/01/13/21/BMjAyMzAxMTMyMTE4MzRfNDAzMDAxOTlfOTM1MDY4ODIxMTNfMF8z_b_Bdddf4e7ef0ff6cfd477857bb40e78419.mp4
春晚2002,https://alimov2.a.kwimgs.com/upic/2023/01/13/21/BMjAyMzAxMTMyMTE4MzRfNDAzMDAxOTlfOTM1MDY4ODIxNDdfMF8z_b_Ba6271d10b7e6cfae83759033a091f257.mp4
春晚2004,https://alimov2.a.kwimgs.com/upic/2023/01/13/21/BMjAyMzAxMTMyMTE4MzRfNDAzMDAxOTlfOTM1MDY4ODIxOTVfMF8z_b_B86c4430b82ff5a7f4e8132f6ee558536.mp4
春晚2010,https://txmov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ0MjlfMF8z_b_B8818807a00eed329a69fb494f405bd43.mp4
